suite,query_name,mode,disable_zonemap,disable_sketch,runs,avg_total_time_s,avg_row_groups_pruned_by_zonemap,avg_segments_pruned_by_zonemap,avg_segments_pruned_by_sketch,avg_vectors_processed
ndv_predicates,high_eq,none,true,true,10,0.014150,60.400000,0.000000,0.000000,1292.300000
ndv_predicates,high_eq,sketch_only,true,false,10,0.015620,60.900000,0.000000,0.000000,1258.600000
ndv_predicates,high_eq,zonemap_only,false,true,10,0.015740,63.000000,0.000000,0.000000,1140.000000
ndv_predicates,high_lt,full,false,false,10,0.014720,57.000000,0.000000,0.000000,1500.000000
ndv_predicates,high_lt,none,true,true,10,0.015500,53.800000,0.000000,0.000000,1688.300000
ndv_predicates,high_lt,sketch_only,true,false,10,0.014410,54.200000,0.000000,0.000000,1664.300000
ndv_predicates,high_lt,zonemap_only,false,true,10,0.014210,57.000000,0.000000,0.000000,1500.000000
ndv_predicates,low_between,full,false,false,10,0.023950,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_between,none,true,true,10,0.024380,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_between,sketch_only,true,false,10,0.026290,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_between,zonemap_only,false,true,10,0.024160,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_conjunct,full,false,false,10,0.039910,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_conjunct,none,true,true,10,0.038520,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_conjunct,sketch_only,true,false,10,0.039080,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_conjunct,zonemap_only,false,true,10,0.037150,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_eq,full,false,false,10,0.023530,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_eq,none,true,true,10,0.023970,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_eq,sketch_only,true,false,10,0.021780,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_eq,zonemap_only,false,true,10,0.022830,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_lt,full,false,false,10,0.021830,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_lt,none,true,true,10,0.021450,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_lt,sketch_only,true,false,10,0.022820,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,low_lt,zonemap_only,false,true,10,0.023430,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_between,full,false,false,10,0.019250,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_between,none,true,true,10,0.019800,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_between,sketch_only,true,false,10,0.020060,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_between,zonemap_only,false,true,10,0.019450,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_conjunct,full,false,false,10,0.035850,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_conjunct,none,true,true,10,0.035620,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_conjunct,sketch_only,true,false,10,0.035550,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_conjunct,zonemap_only,false,true,10,0.034220,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_eq,full,false,false,10,0.018290,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_eq,none,true,true,10,0.019060,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_eq,sketch_only,true,false,10,0.019780,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_eq,zonemap_only,false,true,10,0.019860,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_lt,full,false,false,10,0.019350,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_lt,none,true,true,10,0.019090,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_lt,sketch_only,true,false,10,0.019860,0.000000,0.000000,0.000000,4883.000000
ndv_predicates,medium_lt,zonemap_only,false,true,10,0.017690,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,high_10_pct,full,false,false,10,0.014560,65.000000,0.000000,0.000000,1020.000000
ndv_selectivity,high_10_pct,none,true,true,10,0.014820,62.500000,0.000000,0.000000,1170.000000
ndv_selectivity,high_10_pct,sketch_only,true,false,10,0.015760,63.300000,0.000000,0.000000,1122.000000
ndv_selectivity,high_10_pct,zonemap_only,false,true,10,0.013200,65.000000,0.000000,0.000000,1020.000000
ndv_selectivity,high_1_pct,full,false,false,10,0.015560,71.000000,0.000000,0.000000,660.000000
ndv_selectivity,high_1_pct,none,true,true,10,0.015400,69.700000,0.000000,0.000000,734.300000
ndv_selectivity,high_1_pct,sketch_only,true,false,10,0.015150,66.000000,0.000000,0.000000,960.000000
ndv_selectivity,high_1_pct,zonemap_only,false,true,10,0.013470,71.000000,0.000000,0.000000,660.000000
ndv_selectivity,high_20_pct,full,false,false,10,0.015720,57.000000,0.000000,0.000000,1500.000000
ndv_selectivity,high_20_pct,none,true,true,10,0.015420,51.700000,0.000000,0.000000,1806.900000
ndv_selectivity,high_20_pct,sketch_only,true,false,10,0.015760,51.500000,0.000000,0.000000,1818.900000
ndv_selectivity,high_20_pct,zonemap_only,false,true,10,0.013720,57.000000,0.000000,0.000000,1500.000000
ndv_selectivity,high_50_pct,full,false,false,10,0.017150,31.000000,0.000000,0.000000,3060.000000
ndv_selectivity,high_50_pct,none,true,true,10,0.018000,17.800000,0.000000,0.000000,3818.700000
ndv_selectivity,high_50_pct,sketch_only,true,false,10,0.017760,17.800000,0.000000,0.000000,3815.000000
ndv_selectivity,high_50_pct,zonemap_only,false,true,10,0.013630,31.000000,0.000000,0.000000,3060.000000
ndv_selectivity,high_5_pct,full,false,false,10,0.015570,69.000000,0.000000,0.000000,780.000000
ndv_selectivity,high_5_pct,none,true,true,10,0.014910,66.900000,0.000000,0.000000,898.600000
ndv_selectivity,high_5_pct,sketch_only,true,false,10,0.016460,66.600000,0.000000,0.000000,916.600000
ndv_selectivity,high_5_pct,zonemap_only,false,true,10,0.012390,69.000000,0.000000,0.000000,780.000000
ndv_selectivity,high_90_pct,full,false,false,10,0.018720,1.000000,0.000000,0.000000,4860.000000
ndv_selectivity,high_90_pct,none,true,true,10,0.016890,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,high_90_pct,sketch_only,true,false,10,0.018390,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,high_90_pct,zonemap_only,false,true,10,0.016550,1.000000,0.000000,0.000000,4860.000000
ndv_selectivity,low_10_pct,full,false,false,10,0.023610,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_10_pct,none,true,true,10,0.023500,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_10_pct,sketch_only,true,false,10,0.023310,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_10_pct,zonemap_only,false,true,10,0.020640,0.000000,0.000000,0.000000,4883.000000
